COLLEGE OF SCIENCE AND MATHEMATICS,,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,,
"CHEMISTRY LABORATORY / 1ST, 2ND AND 5TH FLOOR SCIENCE COMPLEX BUILDING",,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,,P - Performed,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,Manufacturer/Brand,Particulars/Name of MEI's,Type Model,QTY,Unit,Acquisition Aquired ,Serial No. ,Price PhP,Condition Please Put (/),,User Manual Code (0/1/A,Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS/ STATUS
,,,,,,,,,Functional,Not functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,1402004695,,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,Needs Stirring Alignment,,,,,X,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
21,,,,,,,1403004759,,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,Needs Stirring Alignment,,,,,X,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
22,,,,,,,1305004608,,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,Needs Stirring Alignment,,,,,X,,,,,,,,P,,,,,,,,,,,Yearly,11/23/2023,11/23/2024,2023SMCS44776,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
23,,,,,,,1402004699,,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,Needs Stirring Alignment,,,,,X,,,,,,,,P,,,,,,,,,,,Yearly,11/23/2023,11/23/2024,2023SMCS44775,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
24,,,,,,,1402004700,,/,,1,1,Glenn Ongayo,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/23/2023,11/23/2024,2023SMCS44774,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
25,Gemmyco ,Vortex Mixer,VM 300,4,,42324,1414550,15000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
26,,,,,,,1414552,,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
27,,,,,,,1414557,,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Needs Thermocouple Replacement
28,,,,,,,1414555,,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
29,Thermolyne ,Muffle Furnace,F48000,1,,39031,1285060889749,113400,,/,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,Needs Thermocouple Replacement,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
30,Vulcan ,Muffle Furnace,DKV,1,,42315,1514101V,114000,/,,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,10/27/2023,10/27/2024,2023-3814,DOST-10 RML,Outsourced,,,,,,,,,,X,,,Calibrated
31,Corning ,Magnetic Stirrer,PC 410D,1,,39804,365208099068,23000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/22/2023,11/22/2024,2023SMCS44769,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
32,,,,2,,41621,155213175013,,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/22/2023,11/22/2024,2023SMCS44768,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,,,Calibrated
33,,,,,,,155213046018,,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/22/2023,11/22/2024,2023SMCS44770,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
34,Cole-Parmer,"Magnetic Stirrer, 5 Stirring Positions",51450-Series,1,,1994,0385A,34000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/22/2023,11/22/2024,2023SMCS44767,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
35,A & D Company ,Moisture Analyzer,MX-50,1,,42327,42915,43500,/,,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/23/2023,11/23/2024,2023SMCS44772,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
36,Ken-A-Vision,Compound Microscope,TU-12011C-230,3,,42327,120011EU 121414,12300,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
37,,,,,,,120011EU 121413,,/,,1,0,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
38,,,,,,,120011EU 121411,,/,,1,0,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
39,Gemmyco ,Centrifuge,PLC-02,2,,42327,1414546,,/,,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/22/2023,11/22/2024,2023SMCS44759,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
40,,,,,,,1414548,,/,,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/22/2023,11/22/2024,2023SMCS44758,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,X,,Calibrated
41,,,,1,,41355,5588,,,/,1,1,Fatimah Nasra Hamoy,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
42,Hach,"Conductivity Meter, Portable",Sense ION+,1,,,7245,34000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
43,Hach,"Turbidimeter, Portable",2100Q,1,,41666,13100C028876,45000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,Yearly,11/22/2023,11/22/2024,2023SMCS44777,Southern Metrology and Calibration Services,Outsourced,,,,,,,,,,,,,Calibrated
44,Bibby,Rotary Evaporator,RE 300,1,,39874,R000100578,123000,/,,1,1,Allen Xerxes Mariveles,,C,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated / Request to be added to the next calibration schedule
