COLLEGE OF SCIENCE EDUCATION AND TECHNOLOGY,,,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,,
CULINARY ARTS LABORATORY BUILDING 18 ROOM 103,,,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,"Status (Inactive, Active, Defective)",User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Flour Bin,,1,,11/16/2015,15-10605110-187,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
22,,2 Deck Gas Baking Oven ,,1,,11/16/2015,15-10605110-189,,/,,ACTIVE,,1,MS. SERMONA,C,,,C,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated / Request to be added to the next calibration schedule
24,,2 Open-range,,1,,11/16/2015,15-1 06 05 110-190 ,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
25,,"Smoking Cabinet
",,1,,03/13/2017,17-1 06 07 010-002,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
26,,"Dough Sheeter
",,1,,03/13/2017,17-1 06 05 140-007,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
C) Rarely Used ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Meat Slicer,,1,,03/13/2017,17-1 06 05 140-011,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
28,,Patisserie Display Cabinet,,2,,11/16/2015,15-1 06 07 010-127 to 2,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
29,,Commercial Bread Slicer Machine,,1,,11/16/2015,15-1 06 05 110-183 ,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
30,,Buffet Bain Marie,,1,,11/16/2015,15-1 06 05 110-191,,INC,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
31,,Rice Cooker 50 cups,,1,,11/16/2015,15-1 06 05 110-193,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
32,,Rice Cooker Stand,,1,,11/16/2015,15-1 06 05 110-192,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
33,,Slop Sink,,1,,11/16/2015,15-1 06 05 110-200,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
34,,Salamander Broiler,,4,,11/16/2015,15-1 06 05 110-203 to 3,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
35,,Salamander Support Rack,,4,,11/16/2015,15-5 02 13 040-008 to1,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
36,,Coffee Maker,,1,,,,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
37,,Juicer,,3,,03/13/2017,17-1 04 05 130-005 to1,,/,,ACTIVE,,0,MS. SERMONA,C,,,C,,,X,,,X,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
