PARTICULARS,,,,,,,,,,,,INVENTORY ,,,,,,,,,,,,PREVENTIVE MAINTENANCE,,,,,,,,,,,,,CORRECTIVE MAINTENANCE,,,,,,,,,,,,,CALIBRATION,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,CALIBRATION DATE,CALIBRATION DUE DATE,CERTIFICATE NO.,TRACEABILITY,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
No.,Name of Machine/Equipment/Instrument,QTY,Unit,Date Aquired ,Brand,Serial No. ,,Condition (Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,System Unit,Monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000E8EC39600,MMLZ3SS012504067DB2415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
25,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP0115390222D9600,MMLZ3SS012504065D92415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
26,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000ED59600,MMLZ3SS012504063B72415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
27,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP011539021DF9600,MMLZ3SS012504065162415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
28,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP01154000E849600,MMLZ3SS012504065B92415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
29,ACER Core i3 with mouse and keyboard - Student PC,1,SET,2016,,DTXOCSP0115390223B9600,MMLZ3SS012504066992415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
30,ACER Core i3 with mouse and keyboard - Teacher's PC,1,SET,2016,,DTXOCSP01154000E8E9600,MMLZ3SS012504066A92415,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,Functional,C,,,X,,,X,,,X,,,Functional,,,,,,,,,,,,,,,,,,
C) Rarely Used ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D) Newly Acquired,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E) Defective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MMLZ3SS0125040621C –  DEFFECTIVE MONITOR,1,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,MMLZ3S012504064332415 – DEFFECTIVE MONITOR,1,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,emergency light,1,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL MEI's,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F) Fix and Furrniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Wall mounted Koppel Aircontioner,2,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
