COLLEGE OF TECHNOLOGY,,,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,LEGENDS:,,,,,,,,,,,,,,,,,,
AUTOCADD LABORATORY BUILIDNG 44 & ROOM 203,,,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,Coding,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,,Monitor 19''.5 LED (ACER) with accesories,,,,,MMLZ3SS-01250406-18D-2415 NO TAG,NO STICKER,,/,0,0,NO STICKER,INC,,INC,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,NOT FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
24,24,,Monitor 19''.5 LED (ACER) with accesories,,,,,MMLZ3SS-01250406-401-2415,NO STICKER,/,,0,0,NO STICKER,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
25,25,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-798-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
26,26,,Monitor 19''.5 LED (ACER) with accesories,,,,,MMLZ3S-01250406-665-2415,NO STICKER,/,,0,0,NO STICKER,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
27,27,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3SS-01250406-4E8-2415 NO TAG,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
28,28,,Monitor 19''.5 LED (ACER) with accesories,,,,,MMLZ3SS-01250406-7F4-2415 NO TAG,NO STICKER,/,,0,0,NO STICKER,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
29,29,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-3AC-2415 ,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
30,30,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-567-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,,P,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
31,31,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-591-2415,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,P,,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
32,32,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-59F-2415  ,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,P,,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
33,33,,Monitor 19''.5 LED (ACER) with accesories,,,,01/30/2016,MMLZ3S-01250406-585-2415 ,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,,X,,X,,X,,X,P,,,,,X,,X,,X,,X,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
34,1,"Acer Extensa M2610,Intel cor i3","System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,33,,01/30/2016,DTX0CSPO-1153-90219E-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
35,2,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-4000E55-9600,25545.8,,/,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,P,,P,,X,,X,,X,,NOT FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
36,3,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-90218C-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
37,4,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-90219A-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
38,5,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,,DTX0CSPO-1154-000E08-9600 NO TAG,NO STICKER,/,,0,0,NO STICKER,C,,C,,X,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
39,6,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-9021C6-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
40,7,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,,DTX0CSPO-1154-000E0-9600 NO TAG,NO STICKER,/,,0,0,NO STICKER,C,,C,,X,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
41,8,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,,DTX0CSPO-1154-000E45-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
42,9,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,,DTX0CSPO-1154-000E3F-9600,,/,,0,0,NO STICKER,C,,C,,X,,X,,X,,X,,,,P,,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
43,10,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-9021A8-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
44,11,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1154-00E88-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
45,12,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-902199-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
46,13,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,,NO TAG,NO STICKER,/,,0,0,NO STICKER,C,,C,,X,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
47,14,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1153-90218F-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
48,15,,"System Unit (Acer Extensa M2610), MOUSE & KEYBOARD",,,,01/30/2016,DTX0CSPO-1154-000E37-9600,25545.8,/,,0,0,VIMA SOCORO TANDOG,C,,C,,X,,X,,X,,X,,,,,P,P,,X,,X,,X,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
