No.,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EDIBON,DC POWER SUPPLY,FA-CO,1,SET,08/20/2015,M150313/12,P43000,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,EDIBON,DC POWER SUPPLY,FA-CO,1,SET,08/20/2015,M150314/12,P43000,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,EDIBON,DC POWER SUPPLY,FA-CO,1,SET,08/20/2015,M150315/12,P43000,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,EDIBON,DC POWER SUPPLY,FA-CO,1,SET,08/20/2015,M150316/12,P43000,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,EDIBON,DC POWER SUPPLY,FA-CO,1,SET,08/20/2015,M150317/12,P43000,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,EDIBON,DC POWER SUPPLY,FA-CO,1,SET,08/20/2015,M150318/12,P43000,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,EDIBON,DC POWER SUPPLY,FA-CO,1,SET,08/20/2015,M150319/12,P43000,/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,ATTEN,SOLDERING IRON & STATION,AT-90DH,1,SET,08/20/2015,10403150636170,"P8,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,ATTEN,SOLDERING IRON & STATION,AT-90DH,1,SET,08/20/2015,10403150636176,"P8,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,ATTEN,SOLDERING IRON & STATION,AT-90DH,1,SET,08/20/2015,10403150636178,"P8,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
,ATTEN,SOLDERING IRON & STATION,AT-90DH,1,SET,08/20/2015,10403150636185,"P8,500",/,,1,1,Romano Pimentel,X,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Calibrated/ Request to be added to the next calibration schedule
