No.,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,"Status (Inactive, Active, Defective)",User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FESTO,4mm safety Laboratory Cables,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Power supply,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Preset counter, electronic",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Time Relay, 2 Fold",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Systainer/Container with components tray,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Basic Electro-Hydraulics,,,,,,,,,,,,,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FESTO,Pressure relief valve  ,,,,"March 10, 2015",,"P 2, 699, 000.00",/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated
,FESTO,2-way flow control valve,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,1-way flow control valve ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Non-return valve  ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"4/3 way solenoid valve, closed mid-position ",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"4/2 way double solenoid valve, detenting ",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Shut-off valve ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Weight for cylinder (9kg),,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Differential cylinder with cover,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Mounting kit for cylinders,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,T-distributor,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,4-way distributor w/ pressure gauge,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,Pressure gauge ,,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not calibrated
,FESTO,"Pressure switch, electronic ",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Relay, three fold",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
,FESTO,"Signal input, electrical ",,,,"March 10, 2015",,,/,,Active,1,0,Engr. Romano Pimentel,,C,,,X,,,X,,,X,,,C,,,X,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
