,ELECTRICAL MACHINES AND MOTOR CONTROL LABORATORY BUILIDNG 44 & ROOM 204,,,,,,,,,,,,,,,C - Complete,,,,,,INC - Incomplete,,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Schedule,,,,,,,,P - Performed,,,,,X - Next Calibration,,,,,,,,,,,,,,,,,,
,MACHINES/EQUIPMENT/INSTRUMENTS (MEI'S) MASTER PLAN FY 2024,,,,,,,,,,,,,,,X - Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P - Performed,,,,,,,,,,,,,,,,,,
No.,No. CODING,Manufacturer/Brand,Particular's/Name of MEI's,Type Model,QTY,Unit,Aquisition Aquired ,Serial/Product No. ,Price (Php),Condition Please Put (/),,"Status (Inactive, Active, Defective)",User Manual Code (0/1),Callibration Code (0/1),Memorandum Receipt (Name of Person),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,STATUS,CALIBRATION FREQUENCY,DATE CALIBRATED,CALIBRATION DUE ,CERTIFICATE NO.,TRACEABILITY,TYPE OF CALIBRATION,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,REMARKS / STATUS
,,,,,,,,,,Functional,Non-Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A) Frequently Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,40,,ELECTROMAGNETISM KITS WITH GROUP OF MOTOR/GENERATOR,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
51,41,,RELAYS MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
52,42,,LIGHTING MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
53,43,,INDUCTANCES MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
54,44,,CAPACITORS MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
55,45,,RECTIFIER DIODES MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
56,46,,RESISTIVE COMPONENTS MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
57,47,,INDUSTRIAL MAIN POWER SUPPLY,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
58,48,,POWER SUPPLY MODULE,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,C,,,,x,,,,,P,,,,x,,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
59,49,,FLUORESCENT LAMP,,1,,8/20/2015,,,,/,INACTIVE,1,0,,C,,,,C,,,,x,,,,,,,,,,,,,,,,NOT FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
60,50,,DIGITAL MULTIMETER,,0,,8/20/2015,,,,/,INACTIVE,1,0,,INC,,,,INC,,,,x,,,,,,,,,,,,,,,,NOT FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
61,51,,"STAR DELTA STARTER, INDUSTRIAL MAIN POWER ",,1,,8/20/2015,AEL-ACINA0002/14 ,1999000,/,,ACTIVE,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
62,52,,THREE-PHASE AUTOTRANSFORMER,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,,x,,,x,,,,,P,,,,,x,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
63,53,,MANUAL STAR DELTA STARTER,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,,x,,,x,,,,,P,,,,,x,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
64,54,,POLE CONTRACTOR (24VAC),,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,,x,,,x,,,,,P,,,,,x,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
65,54.1,,POLE CONTRACTOR (24VAC),,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,,x,,,x,,,,,P,,,,,x,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
66,54.2,,POLE CONTRACTOR (24VAC),,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,,x,,,x,,,,,P,,,,,x,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
67,54.3,,POLE CONTRACTOR (24VAC),,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,,x,,,x,,,,,P,,,,,x,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
68,55,,SYNCHRONIZATION RELAY,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,,x,,,x,,,,,P,,,,,x,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
69,55.1,,SYNCHRONIZATION RELAY,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,,x,,,x,,,,,P,,,,,x,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
70,55.2,,SYNCHRONIZATION RELAY,,1,,8/20/2015,,,/,,ACTIVE,1,0,,C,,,,,x,,,x,,,,,P,,,,,x,,,x,,,FUNCTIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for calibration
